original_term_id	slim_term_id
format:2306	format:2330
format:1434	format:2330
format:3554	format:2330
format:3584	format:2330
format:3813	format:2330
format:1198	format:2330
format:1735	format:2330
format:1741	format:2330
format:1436	format:2330
format:1938	format:2330
format:3819	format:2330
format:2573	format:2330
format:2570	format:2330
format:1209	format:2330
format:1961	format:2330
format:1297	format:2330
format:3983	format:2330
format:1212	format:2330
format:1357	format:2330
format:1910	format:2330
format:1984	format:2330
format:3729	format:2330
format:3580	format:2330
format:1987	format:2330
format:3814	format:2330
format:3607	format:2330
format:4007	format:2330
format:1430	format:2330
format:3691	format:2330
format:2000	format:2330
format:1296	format:2330
format:1627	format:2330
format:3008	format:2330
format:1736	format:2330
format:3016	format:2330
format:2924	format:2330
format:1958	format:2330
format:2182	format:2330
format:2922	format:2330
format:1219	format:2330
format:3582	format:2330
format:3992	format:2330
format:3836	format:2330
format:1933	format:2330
format:3328	format:2330
format:3681	format:2330
format:3984	format:2330
format:3817	format:2330
format:3859	format:2330
format:2194	format:2330
format:3713	format:2330
format:1946	format:2330
format:2096	format:2330
format:1421	format:2330
format:1334	format:2330
format:3822	format:2330
format:3906	format:2330
format:2923	format:2330
format:3775	format:2330
format:1739	format:2330
format:1633	format:2330
format:3611	format:2330
format:1630	format:2330
format:3255	format:2330
format:1458	format:2330
format:3253	format:2330
format:3610	format:2330
format:2305	format:2330
format:1639	format:2330
format:1953	format:2330
format:1455	format:2330
format:3609	format:2330
format:1391	format:2330
format:1629	format:2330
format:1637	format:2330
format:1936	format:2330
format:1393	format:2330
format:1423	format:2330
format:1929	format:2330
format:3586	format:2330
format:3985	format:2330
format:3816	format:2330
format:3329	format:2330
format:3312	format:2330
format:2005	format:2330
format:1477	format:2330
format:1641	format:2330
format:1998	format:2330
format:3886	format:2330
format:3823	format:2330
format:1360	format:2330
format:1912	format:2330
format:1213	format:2330
format:1196	format:2330
format:1435	format:2330
format:1939	format:2330
format:2549	format:2330
format:4005	format:2330
format:1476	format:2330
format:1295	format:2330
format:1940	format:2330
format:3614	format:2330
format:3007	format:2330
format:3013	format:2330
format:3288	format:2330
format:2200	format:2330
format:1319	format:2330
format:1943	format:2330
format:3613	format:2330
format:3788	format:2330
format:2181	format:2330
format:3239	format:2332
format:3240	format:2332
format:3331	format:2332
format:3683	format:2332
format:3250	format:2332
format:3161	format:2332
format:2558	format:2332
format:3690	format:2332
format:1968	format:2332
format:3848	format:2332
format:3692	format:2332
format:3851	format:2332
format:3657	format:2332
format:3262	format:2332
format:3825	format:2332
format:3838	format:2332
format:3159	format:2332
format:3835	format:2332
format:3971	format:2332
format:3847	format:2332
format:3684	format:2332
format:3685	format:2332
format:3158	format:2332
format:2204	format:2332
format:3487	format:2332
format:3764	format:2332
format:3853	format:2332
format:3163	format:2332
format:1665	format:2332
format:2304	format:2332
format:3845	format:2332
format:3244	format:2332
format:3682	format:2332
format:3843	format:2332
format:3157	format:2332
format:3261	format:2332
format:3249	format:2332
format:3711	format:2332
format:2184	format:2332
format:3844	format:2332
format:3468	format:2332
format:2332	format:2332
format:3770	format:2332
format:3834	format:2332
format:2352	format:2332
format:3725	format:2332
format:3506	format:2332
format:3832	format:2332
format:3854	format:2332
format:1740	format:2332
format:3852	format:2332
format:3782	format:2332
format:3655	format:2332
format:1741	format:2332
format:3155	format:2332
format:3247	format:2332
format:3243	format:2332
format:3246	format:2332
format:3689	format:2332
format:3248	format:2332
format:2183	format:2332
format:3850	format:2332
format:3833	format:2332
format:3821	format:2332
format:3804	format:2332
format:3604	format:2332
format:3160	format:2332
format:3846	format:2332
format:3726	format:2332
format:1967	format:2332
format:2550	format:2332
format:2185	format:2332
format:2585	format:2332
format:1478	format:2332
format:3747	format:2332
format:3311	format:2332
format:1978	format:2332
format:3836	format:2332
format:3970	format:3750
format:3750	format:3750
format:3784	format:3750
format:3857	format:3750
format:3774	format:3750
format:3749	format:3750
format:3464	format:3750
format:3781	format:3750
format:3772	format:3750
format:3773	format:3750
format:3969	format:3750
format:3626	format:2333
format:3547	format:1915
format:1919	format:1915
format:1915	format:1915
format:3507	format:1915
format:3654	format:2332
format:2548	format:1915
format:3100	format:1915
format:2064	format:1915
format:2559	format:1915
format:2557	format:1915
format:2056	format:1915
format:1996	format:1915
format:3884	format:1915
