original_term_id	slim_term_id
data:1384	data:1916
data:1385	data:1916
data:0881	data:1916
data:1493	data:1916
data:1479	data:1916
data:1383	data:1916
data:0890	data:1916
data:0863	data:1916
data:0858	data:1916
data:2366	data:1916
data:1482	data:1916
data:0893	data:1916
data:0886	data:1916
data:1916	data:1916
data:1481	data:1916
data:1381	data:1916
data:0878	data:1916
data:3924	data:1916
data:3210	data:0955
data:0955	data:0955
data:3723	data:3108
data:2536	data:3108
data:0905	data:3108
data:3722	data:3108
data:3110	data:3108
data:0938	data:3108
data:0924	data:3108
data:0937	data:3108
data:0943	data:3108
data:0944	data:3108
data:2537	data:3108
data:0926	data:3108
data:0940	data:3108
data:0939	data:3108
data:3724	data:3108
data:3108	data:3108
data:1714	data:2603
data:0928	data:2603
data:2535	data:2603
data:3111	data:2603
data:1636	data:2603
data:3117	data:2603
data:3115	data:2603
data:3110	data:2603
data:3768	data:2603
data:3112	data:2603
data:2717	data:2603
data:2603	data:2603
data:3449	data:2968
data:1714	data:2968
data:1713	data:2968
data:2586	data:2968
data:1636	data:2968
data:3808	data:2968
data:1711	data:2968
data:1707	data:2968
data:1708	data:2968
data:3153	data:2968
data:2992	data:2968
data:3807	data:2968
data:2168	data:2968
data:1289	data:2968
data:3424	data:2968
data:1710	data:2968
data:0942	data:2968
data:2969	data:2968
data:2163	data:2968
data:1709	data:2968
data:3442	data:2968
data:1712	data:2968
data:2162	data:2968
data:2968	data:2968
data:0870	data:2082
data:3355	data:2082
data:1265	data:2082
data:1502	data:2082
data:2854	data:2082
data:1449	data:2082
data:1494	data:2082
data:2855	data:2082
data:1268	data:2082
data:1507	data:2082
data:1266	data:2082
data:2082	data:2082
data:3479	data:2082
data:2856	data:2082
data:1506	data:2082
data:1448	data:2082
data:1365	data:2082
data:1362	data:2082
data:1361	data:2082
data:1546	data:2082
data:0874	data:2082
data:1499	data:2082
data:0892	data:2082
data:3112	data:2082
data:3354	data:2082
data:1508	data:2082
data:1363	data:2082
data:1267	data:2082
data:1505	data:2082
data:1501	data:2082
data:3917	data:2082
data:1585	data:2087
data:2016	data:2087
data:1530	data:2087
data:1527	data:2087
data:0906	data:2087
data:1203	data:2087
data:1505	data:2087
data:0845	data:2087
data:1531	data:2087
data:2956	data:2087
data:3451	data:2087
data:2165	data:2087
data:1501	data:2087
data:1526	data:2087
data:2050	data:2087
data:0844	data:2087
data:1566	data:2087
data:1201	data:2087
data:1547	data:2087
data:1508	data:2087
data:1524	data:2087
data:1588	data:2087
data:1502	data:2087
data:1858	data:2087
data:1506	data:2087
data:2025	data:2087
data:2087	data:2087
data:1542	data:2087
data:1743	data:2087
data:2979	data:2087
data:1528	data:2087
data:1503	data:2087
data:0847	data:2087
data:1545	data:2087
data:2139	data:2087
data:1202	data:2087
data:3743	data:2087
data:1525	data:2087
data:1507	data:2087
data:1519	data:2087
data:0909	data:2087
data:1204	data:2087
data:0910	data:2087
data:1546	data:2087
data:1205	data:2087
data:1532	data:2087
data:1521	data:2087
data:1529	data:2087
data:2970	data:2087
data:2024	data:2087
data:2088	data:2087
data:0897	data:2087
data:1917	data:2087
data:1583	data:2087
data:1857	data:2087
data:2026	data:2087
data:1584	data:2087
data:1523	data:2087
data:1589	data:2087
data:1549	data:2087
data:1548	data:2087
data:1520	data:2087
data:2957	data:2087
data:3425	data:2087
data:1449	data:2087
data:1534	data:2087
data:1595	data:2087
data:1590	data:2087
data:1544	data:2087
data:2991	data:2087
data:2720	data:2087
data:2985	data:2087
data:1522	data:2087
data:0912	data:2087
data:0944	data:2087
data:0945	data:2087
data:2753	data:2087
data:2140	data:2087
data:2301	data:2087
data:0846	data:2087
data:2600	data:2600
data:2168	data:2048
data:1259	data:2048
data:1596	data:2048
data:3558	data:2048
data:0887	data:2048
data:3546	data:2048
data:1263	data:2048
data:1261	data:2048
data:3128	data:2048
data:0962	data:2048
data:1696	data:2048
data:0963	data:2048
data:0919	data:2048
data:2530	data:2048
data:2984	data:2048
data:0956	data:2048
data:0907	data:2048
data:3718	data:2048
data:1266	data:2048
data:0916	data:2048
data:3720	data:2048
data:3716	data:2048
data:1260	data:2048
data:1254	data:2048
data:2313	data:2048
data:3914	data:2048
data:1265	data:2048
data:2223	data:2048
data:1267	data:2048
data:0957	data:2048
data:3567	data:2048
data:3861	data:2048
data:1277	data:2048
data:0972	data:2048
data:3721	data:2048
data:2084	data:2048
data:2711	data:2048
data:0862	data:2048
data:2048	data:2048
data:0920	data:2048
data:3181	data:2048
data:0896	data:2048
data:2531	data:2048
data:3719	data:2048
data:3106	data:2048
data:1539	data:2048
data:1622	data:2048
data:2166	data:2048
data:3717	data:2048
data:3492	data:2048
data:2762	data:2048
data:2337	data:2048
data:0949	data:2048
data:2955	data:2048
data:3113	data:2048
data:1268	data:2048
data:1621	data:2048
data:1537	data:2048
data:2969	data:2048
data:3148	data:2048
data:2085	data:2048
data:0960	data:2048
data:2354	data:2048
data:0927	data:2048
data:0958	data:2048
data:2167	data:2048
data:2879	data:2048
data:1355	data:2048
data:1289	data:2048
data:2193	data:2048
data:0867	data:2048
data:2161	data:2048
data:3134	data:1255
data:3002	data:1255
data:1277	data:1255
data:1276	data:1255
data:1270	data:1255
data:1255	data:1255
data:1234	data:0850
data:1235	data:0850
data:1245	data:0850
data:0925	data:0850
data:0924	data:0850
data:1238	data:0850
data:1246	data:0850
data:1239	data:0850
data:1240	data:0850
data:1262	data:0850
data:0850	data:0850
