id	method	protocol	rank	event_ts
DATA_EVENT.00047600	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047601	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047604	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-03-31
DATA_EVENT.00047605	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-03-31
DATA_EVENT.00047608	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-01-23
DATA_EVENT.00047609	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-01-23
DATA_EVENT.00047612	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047613	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047616	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047617	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047620	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047621	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047624	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047625	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047628	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00047629	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00047632	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047633	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047636	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047637	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047640	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047641	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047644	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047645	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047648	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-07-12
DATA_EVENT.00047649	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-07-12
DATA_EVENT.00047652	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047653	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047656	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047657	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047660	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047661	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047664	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-20
DATA_EVENT.00047665	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-20
DATA_EVENT.00047668	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047669	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047672	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047673	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047676	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047677	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047680	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-02
DATA_EVENT.00047681	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-02
DATA_EVENT.00047684	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-08-29
DATA_EVENT.00047685	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-08-29
DATA_EVENT.00047688	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047689	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047692	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047693	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047696	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2014-02-08
DATA_EVENT.00047697	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2014-02-08
DATA_EVENT.00047700	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047701	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047704	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047705	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047708	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047709	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047712	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-11-08
DATA_EVENT.00047713	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-11-08
DATA_EVENT.00047716	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
DATA_EVENT.00047717	http://purl.obolibrary.org/obo/OBI_0002567	PROTOCOL_ID.0	1	2013-12-21
DATA_EVENT.00047720	http://purl.obolibrary.org/obo/OBI_0600047	PROTOCOL_ID.0	0	2013-12-21
