id	name	def	synonyms
http://purl.obolibrary.org/obo/OBI_0000880	RNA extract	an extract which is the output of an extraction process in which RNA molecules are isolated from a specimen.	
http://purl.obolibrary.org/obo/OBI_0001010	nucleic acid extract	An extract that is the output of an extraction process in which nucleic acid molecules are isolated from a specimen.	
http://purl.obolibrary.org/obo/OBI_0001051	DNA extract	The output of an extraction process in which DNA molecules are purified in order to exclude DNA from organellas.	
http://purl.obolibrary.org/obo/OBI_0002567	sequence alignment	A data transformation in which one or more sequences (reads) are positioned on a reference sequence template (often a reference set of genes), according to the genetic base-pairing paradigm.	
http://purl.obolibrary.org/obo/OBI_0600047	sequencing assay	An assay the uses chemical or biochemical means to infer the sequence of a biomaterial	
